year,filename,abstract_extraction_status,energy_goal,energy_quote,software_contribution,software_quote,evaluation_method,evaluation_quote,recommendation,justification,error
2022,v005t07a021-imece2022-95228.pdf,Success,Not Mentioned,Not Mentioned,Development of control algorithms for the operation of the robot,control algorithms were developed for the operation of the robot.,Laboratory testing and data collection,"the prototyped mechanism was tested in a laboratory setting while the collected data were used for modifying the designs, and controlling software and hardware.",Exclude,"The study focuses on robotics and software aspects of the robotic system, and provides a certain level of evaluation. However, it does not focus on energy efficiency, which is one of the key inclusion criteria.",
2022,v010t10a026-detc2022-88415.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Experimental investigation and numerical analysis,"In this paper, we experimentally investigate the effects of an untuned suspended mass on the conductor as an analog for the mdr, and we perform numerical analysis in Matlab using equations of motion obtained via Hamilton’s principle.",Exclude,The abstract does not focus on energy efficiency or software aspects of robotics. It primarily discusses vibration control in mobile damping robots.,
2023,020042_1_5.0113333.pdf,Success,Reduce manpower and time in agricultural activities using a solar-powered robot,The robot is sun-oriented fuelled consequently it is an environmentally friendly power source.,Development of an android application using embedded C to control the robot,We are developing an android application using embedded C and connect to esp32 by which we can give the commands to the robot.,Not Mentioned,Not Mentioned,Exclude,"While the study focuses on robotics, energy efficiency, and software aspects, it does not provide any form of evaluation as per the inclusion criteria i4. Therefore, it does not meet all the inclusion criteria.",
2023,1-s2.0-S0273117722009024-main.pdf,Success,Designing a balance arm for efficient usage of energy,the balance arm has been designed considering the efficient usage of energy satisfying reactionless manipulation concept.,Proposes a reactionless manipulation algorithm for a multi-robotic arm,current work proposes a reactionless manipulation algorithm for a multi-robotic arm based on the iterative newton–euler method for space robots with many task and balance arms.,Computational experiments and comparison with existing literature,computational experiments are conducted to validate the use of the genetical algorithm for optimization. the results of proposed reactionless manipulation algorithm have been validated with the results available in the literature for the spatial case that uses a different method.,Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through computational experiments and comparison with existing literature (i4). It is a peer-reviewed study published by Elsevier (i5), and is written in English (i6). None of the exclusion criteria apply.",
2023,1-s2.0-S0278612523001255-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2023,1-s2.0-S0921889022001592-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2023,1-s2.0-S0921889023001100-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2023,1-s2.0-S1110016823006063-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2023,1-s2.0-S1270963823003796-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2023,1-s2.0-S1526612523004097-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2023,1-s2.0-S1755581723000998-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2023,1-s2.0-S2214785323043389-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2023,10.2478_ata-2023-0025.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2023,1296507.pdf,Success,Reduce the heat generation of the drive system and improve the observation accuracy,an ultra-low power drive system for an integrated fiber positioner robot is designed,Design of a task scheduling mechanism based on stm32 low-power mode in the software driver of the fiber positioner robot,a task scheduling mechanism based on stm32 low-power mode is designed in the software driver of the fiber positioner robot,Power consumption measurement platform,"in order to evaluate the low-power characteristics of this ultra-low power drive system, we built a power consumption measurement platform",Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), specifically on energy efficiency (i2) and software aspects (i3) of a robotic system. It provides an evaluation of the system (i4), and it is written in English (i6). The abstract does not provide information about the peer-review status (i5) or the full-text availability (e5), but it does not meet any of the exclusion criteria.",
2023,17509-Article Text-69745-1-10-20230607.pdf,Success,Minimize the energy consumption of an autonomous mobile robot working in industrial environments,"in particular, we formulate an optimization problem that jointly determines the trajectory of the robot and the time step duration to minimize the energy consumption without obstacle collisions.",Proposing successive convex approximation (SCA) algorithms to solve the nonconvex problems with the presence of both static and moving obstacles,the main contribution of this work proposing successive convex approximation (sca) algorithms to solve the nonconvex problems with the presence of both static and moving obstacles.,Simulation results,"simulation results clearly show that the proposed algorithms outperform the a* algorithm, in terms of energy consumption.",Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), specifically on energy efficiency (i2) and software aspects of the robotic system (i3). It provides an evaluation through simulation results (i4), and it is written in English (i6). The abstract does not provide information about the peer-review status (i5) or the full-text availability (e5), but it does not meet any of the exclusion criteria.",
2023,2023-P2-18_page1.pdf,Success,Not Mentioned,Not Mentioned,The study focuses on the development of a robot control & monitoring system (RCMS) that uses deep learning and image processing algorithms for autonomous inspection of underground tunnels.,"In the developed RCMS (robot control & monitoring system), it recognizes trained images of cables and joints through a deep learning algorithm. It then extracts thermal images of cable ends and joints through an image processing algorithm based on opencv software.",Field test,Diagnostic tasks and field test are detailed in section robot control & monitoring system.,Exclude,"While the study does focus on robotics and software aspects, and provides an evaluation through field tests, it does not explicitly focus on energy efficiency, which is one of the key inclusion criteria.",
2023,2604-Article Text-16107-15757-10-20221212.pdf,Success,Not Mentioned,Not Mentioned,Develop a control strategy for the robot to assist the therapist’s movement in a power assist upper limb rehabilitation treatment.,The system combines the advantages of robotic and manual rehabilitation therapy. Torque and position sensors fitted on the power assist upper limb rehabilitation robot arm are used for motion intention estimation.,Matlab simulation and hardware experimental tests,The proposed control system has been tested using matlab simulation and hardware experimental tests.,Exclude,"The study focuses on robotics and software aspects of the robotic system, and provides a certain level of evaluation. However, it does not focus on energy efficiency, which is one of the key inclusion criteria.",
2023,3555776.3577681.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Exclude,The abstract provided does not contain any information to assess against the inclusion or exclusion criteria.,
2023,3568162.3576973.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Exclude,"The abstract does not provide any information about energy efficiency, software aspects of robotics, or any form of evaluation. Therefore, it does not meet the inclusion criteria.",
2023,8th MDSRIC-132.pdf,Success,Improving energy efficiency in lawn mowing robots by incorporating solar panels,"The grass cutting efficiency is improved by the incorporation of solar panels. By reducing carbon emissions, it lessens reliance on conventional fossil fuel-based energy sources and has a minimal negative effect on the environment.",Development of an android application for precise navigation of the lawn mowing robot,"Through the use of an android application, an operator may precisely navigate the lawn by controlling the robot’s forward, backward, left, and right motions.",Not Mentioned,Not Mentioned,Maybe,"The abstract meets the criteria i1, i2, i3, and i6. However, it does not provide clear evidence of an evaluation method (i4) and it is not clear if the study is peer-reviewed (i5).",
2023,978-3-031-47272-5_1.pdf,Success,Reduce an inspection robot’s energy consumption by optimizing the mechanical efficiency of its gear reducer’s traction motor.,This work aims to reduce an inspection robot’s energy consumption by optimizing the mechanical efficiency of its gear reducer’s traction motor.,Not Mentioned,Not Mentioned,The impact of the performance of the original and the optimized gearboxes in the batteries’ final SOC is evaluated.,The impact of the performance of the original and the optimized gearboxes in the batteries’ final SOC is evaluated.,Exclude,"The study focuses on energy efficiency in robotics, and provides an evaluation of the implemented solution. However, it does not explicitly deal with any software aspect of the robotic system, which is a necessary inclusion criterion.",
2023,978-3-031-47454-5_7.pdf,Success,Optimizing electric power consumption in a power assist robotic system,computational model to estimate electric power consumption of the robotic system for object lifting tasks was derived,Design and development of predictive robot control strategies for optimizing electric power consumption,"results can be used to design and develop predictive robot control strategies (e.g., mpc-model predictive control) for optimizing electric power consumption",Empirical assessment,its effectiveness was experimentally examined,Include,"The abstract focuses on robotics, energy efficiency, and software aspects of the robotic system. It provides an empirical assessment of the system. The type of document and its peer-review status are not mentioned, but it seems to meet all the inclusion criteria and none of the exclusion criteria based on the abstract.",
2023,978-3-031-49421-5_31.pdf,Success,Achieve maximum efficiency and service life by operating the battery at optimal conditions.,The main goal is to achieve maximum efficiency and service life by operating the battery at optimal conditions.,Development of a novel smart battery system for a mobile robot platform.,This paper presents and evaluates the development of a novel smart battery system for a mobile robot platform.,Empirical assessment of the prototype's efficiency.,The scalable system includes active cell balancing with an efficiency of up to 79% for the prototype with inductor-based buck-boost topology.,Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an empirical assessment (i4), appears to be a peer-reviewed study (i5), and is written in English (i6). None of the exclusion criteria apply.",
2023,978-3-031-53827-8_29.pdf,Success,Not Mentioned,Not Mentioned,"Design, development, and implementation of the roborecycle buddy, a voice and chat gpt-integrated social robot","in this paper, we present the “roborecycle buddy”, a voice and chat gpt-integrated social robot designed to enhance early childhood green education and foster positive recycling habits through playful interaction.",Not Mentioned,Not Mentioned,Exclude,The study does not focus on energy efficiency (i2) and does not provide a certain level of evaluation (i4).,
2023,978-981-97-4700-9_44.pdf,Success,,,,,,,,,Error parsing LLM response: Expecting value: line 1 column 1 (char 0)
2023,978-981-99-3455-3_36.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Exclude,"The abstract does not mention any focus on energy efficiency, software aspects of the robotic system, or any form of evaluation. Therefore, it does not meet the inclusion criteria.",
2023,978-981-99-4634-1_14.pdf,Success,Selection of an appropriate end-effector trajectory on the basis of minimum energy requirement,the proposed framework is based on utilization of the kinematic and dynamic model of the robot for trajectory selection on the basis of minimum energy requirement,A framework for trajectory selection based on kinematic and dynamic model of the robot,this work describes a simplified framework for assessment and selection of an appropriate end-effector trajectory among the multiple choices,Demonstration of the approach in terms of task space trajectory planning problem for a six degrees of freedom industrial manipulator,the effectiveness of the proposed approach is demonstrated in terms of task space trajectory planning problem for a six degrees of freedom industrial manipulator,Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation of the proposed approach (i4). However, it is not explicitly mentioned if the study is peer-reviewed (i5), written in English (i6), or available as full-text (e5). The abstract does not meet any of the exclusion criteria.",
2023,978-981-99-6511-3_25.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Exclude,"The abstract does not provide any information about the focus on robotics, energy efficiency, software aspects of the robotic system, or any form of evaluation. It also does not specify if it is a peer-reviewed study, written in English, or available as full-text.",
2023,978-981-99-7886-1_43.pdf,Success,Optimize electric power efficiency in a power assist robotic system,a cognitive model predictive control (mpc) was proposed that optimized electric power efficiency by optimizing the co-manipulation speed,Development of a computational model for estimating electric power consumption and a cognitive model predictive control for optimizing power efficiency,a computational model for estimating electric power consumption in the system for the lifting task was derived. a cognitive model predictive control (mpc) was proposed that optimized electric power efficiency,Empirical assessment through application of the proposed cognitive model predictive control,the application of the proposed cognitive mpc showed a higher level of electric power efficiency,Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an empirical assessment (i4), and it is assumed to be a peer-reviewed study written in English (i5, i6). None of the exclusion criteria apply.",
2023,A_Constrained_Two-Link_Brachiating_Robot_for_Power_Line_Inspection.pdf,Success,Not Mentioned,Not Mentioned,The control system combines proportional-integral-derivative (pid) and computed torque control (ctc) techniques to achieve precise control.,The control system combines proportional-integral-derivative (pid) and computed torque control (ctc) techniques to achieve precise control.,The effectiveness of this control approach is demonstrated through simulations within the simulink environment and visualization facilitated by simscape multibody simulation.,The effectiveness of this control approach is demonstrated through simulations within the simulink environment and visualization facilitated by simscape multibody simulation.,Exclude,"The study focuses on robotics and software aspects of the robotic system, and provides a certain level of evaluation. However, it does not focus on energy efficiency, which is one of the key inclusion criteria.",
2023,A_Flexible_Lightweight_7.4_V_Input_300_V_to_1500_V_Output_Power_Converter_for_an_Untethered_Modular_Piezoelectric_Soft_Robot.pdf,Success,"Design and implementation of a flexible, lightweight, and modular power converter for multi-actuator piezoelectric soft robots.","output pulses of 300v to 1500v, 1w, can be generated from 7.4 v input voltage with less than 5 g of power electronics weight.","Co-design of hardware, software, power, and control for a fully untethered, modular, scalable soft robot platform.","enables new opportunities for hardware, software, power, and control co-design.",Not Mentioned,Not Mentioned,Maybe,"The abstract focuses on robotics and energy efficiency, and it mentions software aspects of the robotic system. However, it does not provide any information about the evaluation of the study or whether it is a peer-reviewed study.",
2023,A_Flexible_Towed_Aerial_Robot_System_for_Stable_X-ray_Inspection_of_Power_Lines.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Real-world experiments with double bundle conductors and four bundle conductors,"to verify the performance of the developed aerial robot system,we conduct real-world experiments with double bundle conductors and four bundle conductors.",Exclude,"The abstract does not focus on energy efficiency or software aspects of the robotic system, which are key inclusion criteria.",
2023,A_Perching_and_Tilting_Aerial_Robot_for_Precise_and_Versatile_Power_Tool_Work_on_Vertical_Walls.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Empirical assessment,"we evaluate our design in a concrete drilling application – a challenging construction process that requires high forces, accuracy, and precision. in 30 trials, our design can accurately pinpoint a target position despite perching imprecision.",Exclude,"The abstract does not mention any focus on energy efficiency or software aspects of the robotic system, which are key inclusion criteria for the literature review.",
2023,A_Variable_Impedance_Scheme_Based_on_Power-Shaping_Signals_and_Partial_Knowledge_of_Link-Side_Dynamics_for_Flexible-Joint_Robot_Interaction_and_Tracking_Control.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Exclude,The abstract does not provide any information relevant to the inclusion criteria.,
2023,Advanced Science - 2023 - Nardekar - Untethered Magnetic Soft Robot with Ultra‐Flexible Wirelessly Rechargeable.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2023,Collaborative_Path_Planning_Arithmetic_for_Multi_Robot_System_of_Power_Intelligent_Inspection_Based_on_Particle_Swarm_Optimization.pdf,Success,Not Mentioned,Not Mentioned,The study focuses on the development of a collaborative path planning arithmetic based on particle swarm optimization (POS) for power intelligent inspection multi robot system.,"In this article, a collaborative path planning arithmetic based on pos(particle swarm optimization) is proposed for power intelligent inspection multi robot system.",Simulation test and analysis,"Finally, the simulation test and analysis are carried out. The simulation results show that the proposed arithmetic has a certain accuracy, which is 8.96% higher than the traditional arithmetic.",Exclude,"The study does not meet the inclusion criteria i2 as it does not focus on energy efficiency. Although it meets the criteria i1, i3, i4, i5, and i6, the lack of focus on energy efficiency leads to the decision to exclude the study.",
2023,Conducted_Electromagnetic_Disturbance_Prediction_of_Electric_Power_Robot_Motor_Drive_System.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Conduct experimental verification of simulation results,"in this paper, we analyze the conduction disturbance sources and disturbance propagation paths of motor drive system, propose a modeling and prediction method for conduction disturbance of motor servo drive, and conduct experimental verification of simulation results",Exclude,"The abstract does not focus on energy efficiency or software aspects of the robotic system, which are key inclusion criteria.",
2023,Design+and+Development+of+5G++Robot+Autonomous+Patrol+Inspection+System+in+Intelligent+Power+Plant.pdf,Success,,,,,,,,,Error parsing LLM response: Expecting value: line 1 column 1 (char 0)
2023,Design_Method_of_a_Kangaroo_Robot_with_High_Power_Legs_and_an_Articulated_Soft_Tail.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Simulation,we determine the structure of the robot that enables it to jump by analyzing the muscle arrangement and prior verification in simulation.,Exclude,"The abstract does not focus on energy efficiency or software aspects of the robotic system, which are key inclusion criteria.",
2023,Design_and_Analysis_of_a_Fiber_Laser_Flying_Robot_for_Cleaning_Power_Line_Insulators.pdf,Success,Improving power transmission lines,"it is one of humanity's greatest needs today to be able insulators are used in different atmospheric conditions, and to transmit electric current using power lines from power plants to cities, therefore, power generation companies are always thinking about improving power transmission lines.",Control of cleaning systems by a pilot at the ground station or by an autopilot,the control of these systems is done either by a pilot at the ground station or by an autopilot.,Not Mentioned,Not Mentioned,Exclude,"While the study does focus on robotics and energy efficiency, it does not provide a clear focus on the software aspects of the robotic system. Furthermore, there is no mention of an evaluation method, and it is unclear whether the study is peer-reviewed or available in English.",
2023,EBSCO-FullText-07_20_2025.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Prototype development and experimental testing,"finally, the prototype is developed according to the design model and calculation analysis, and the experimental test is carried out.",Exclude,"The abstract does not mention any focus on energy efficiency or software aspects of the robotic system, which are key inclusion criteria for the literature review.",
2023,EPA02461_acta_polytechnica_2023_07_083-098.pdf,Success,Estimate the level of energy dissipated by the intestine deformation,it is necessary to estimate the level of energy dissipated by the intestine deformation as it serves as a main driving factor,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Exclude,"The abstract does not mention any software aspects of the robotic system (i3), nor does it provide any form of evaluation (i4).",
2023,Energy-Efficient_Pose-Estimation_FPGA-Accelerator_for_Real-Time_Mobile_V-SLAM_Robot.pdf,Success,Achieve low power consumption and high-performance real-time visual SLAM systems,"To achieve low power consumption and high-performance real-time visual SLAM systems, we propose a reconfigurable FPGA accelerator for robot pose estimation.",Design of a pose estimation accelerator for feature-based systems,"In this paper, we design a pose estimation accelerator for feature-based systems.",Comparative analysis with Intel i7-10875h platform,Achieving over 14 times the computational speed and over 40 times the energy efficiency compared to Intel i7-10875h platform.,Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation (i4), is a peer-reviewed study (i5), and is written in English (i6).",
2023,Energy_Efficient_Multi-Robot_Task_Allocation_Constrained_by_Time_Window_and_Precedence.pdf,Success,"Improve the sustainability and environmental impact of logistics operations by reducing the number of robots needed to complete tasks and also by assigning tasks closest to the robot location, reducing the amount of time and the total energy required for the robots to complete the job.","In this way, the sustainability and environmental impact of logistics operations can be improved by reducing the number of robots needed to complete tasks and also by assigning tasks closest to the robot location, reducing the amount of time and the total energy required for the robots to complete the job.","The paper presents a method for agent coordination in multi-robot systems, formulated as a multi-robot task allocation problem with time and precedence constraints. The method uses a graph method to build a measure graph reflecting the sparsity of tasks and a precedence graph, which includes the task constraints, to group the tasks into batches.","In this paper, agent coordination is formulated as a multi-robot task allocation problem with time and precedence constraints. The method capitalizes on a graph method to build a measure graph reflecting the sparsity of tasks and a precedence graph, which includes the task constraints, to group the tasks into batches.",Empirical assessment through extensive experiments on both uniformly distributed and other types of tasks.,"Experimental results demonstrated that when comparing this method with literature approaches such as MIP and TEPSSI, not only the energy consumption but also the total travel distance can be minimized while the total duration of the tasks remains comparable.",Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an empirical assessment (i4), and it is presumably a peer-reviewed study written in English (i5, i6). None of the exclusion criteria apply.",
2023,Energy_Optimal_Trajectory_Planning_of_Welding_Robot_Based_on_Improved_Particle_Swarm_Optimization_Algorithm.pdf,Success,Optimize the minimum energy consumption points with multiple peaks,the pso algorithm with a compression factor is applied to optimize the minimum energy consumption points with multiple peaks.,Proposes an energy-optimal mixed polynomial interpolation method based on improved particle swarm optimization for robot arm's trajectory,"in order to effectively improve the accuracy and trajectories, such as polynomial trajectories, fourier efficiency of the robot arm's trajectory, an energy-optimal mixed polynomial interpolation method based on improved particle swarm optimization (pso) is proposed.",Empirical assessment through experiments conducted on an ABB1600 robot,the feasibility and effectiveness of this method are verified through experiments conducted on an abb1600 robot.,Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an empirical assessment (i4), is likely a peer-reviewed study (i5), and is written in English (i6). It does not meet any of the exclusion criteria.",
2023,Exploring_tactile_sensing_to_perform_the_power_grasp_of_a_human-robot_handshake.pdf,Success,Not Mentioned,Not Mentioned,"The work presents an upgrade of its tactile sensing capabilities, introducing a new silicone palm with magnetic sensors that allows to obtain more information during the grasping. In addition, a controller that closes the hand in an autonomous way, tailored for handshakes.","this work presents the hardware design and implementations, as well as all the software needed to enable the use of the sensors (sensor calibration and design of the new control system).","The results obtained prove a solid calibration, and a positive response to the implemented control system.","finally, the results obtained prove a solid calibration, and a positive response to the implemented control system.",Exclude,"The study focuses on robotics and software aspects of the robotic system, and provides a certain level of evaluation. However, it does not focus on energy efficiency, which is one of the key inclusion criteria.",
2023,Fei_2023_J._Phys.__Conf._Ser._2549_012005.pdf,Success,Not Mentioned,Not Mentioned,"Introducing machine vision into the process of robotic precision machining systems, combining visual inspection systems and feedback control systems to achieve grinding trajectory planning.","Due to the uncertainty and high degree of nonlinearity in the control process, machine vision is introduced into the process of robotic precision machining systems, combining visual inspection systems and feedback control systems to achieve grinding trajectory planning.",Developing a robotic lithium battery housing material processing experimental platform to verify the feasibility of the control scheme.,"Verify the feasibility of the control scheme, and develop a robotic lithium battery housing material processing experimental platform to meet the requirements for precision machining of the free surface of the lithium battery heat dissipation workpiece.",Exclude,"The study focuses on robotics and software aspects of the robotic system, and provides a certain level of evaluation. However, it does not focus on energy efficiency, which is one of the key inclusion criteria.",
2023,Ferrite_Concentrating_and_Shielding_Structure_Design_of_Wireless_Power_Transmitting_Coil_for_Inductively_Coupled_Capsule_Robot.pdf,Success,Enhance the power transfer efficiency (PTE) of inductively coupled capsule robot,the ferrite core is solely introduced in power receiving coil (PRC) configuration to enhance the coupling...anovel ferrite structure for PTC giving consideration to the magnetic field concentration as well as the mitigation and shielding of the leaked magnetic field is proposed in this paper.,Not Mentioned,Not Mentioned,"Analyses and simulations, and experimental testing","through analyses and simulations, the parameters of the proposed configuration are designed and optimized...prototypes of PTC with different ferrite configurations are established, tested, and compared to validate the performance enhancement.",Exclude,"While the study focuses on energy efficiency in robotics (i1, i2), and provides an evaluation (i4), it does not explicitly deal with any software aspect of the robotic system (e1).",
2023,Harnessing_the_Power_of_Movement_A_Body-Weight_Support_System_amp_Assistive_Robot_Case_Study.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Case Study,we conducted a case study over three and a half months to understand if the bwss alone and if the bwss with an assistive robot could promote child movement and engagement.,Exclude,"The abstract does not focus on energy efficiency or software aspects of the robotic system, which are key inclusion criteria.",
2023,High Voltage - 2023 - Chen - Intelligent power distribution live‐line operation robot systems based on stereo camera.pdf,Success,Not Mentioned,Not Mentioned,The research proposes an intelligent power distribution live‐line operation robot (PDLOR) system based on a stereo camera to replace human to complete work.,"The PDLOR system consists of several key components, including dual manipulators, wireless tools, a visual perception system, an insulated bucket truck, and a ground control terminal.",Field experiments were conducted in actual distribution network scenarios.,"To validate the feasibility of the PDLOR system, field experiments were conducted in actual distribution network scenarios.",Exclude,"The study focuses on robotics and software aspects of the robotic system, and provides an evaluation. However, it does not explicitly focus on energy efficiency, which is one of the key inclusion criteria.",
2023,HumanRobot_Collaborative_Scheduling_in_Energy-Efficient_Welding_Shop.pdf,Success,Minimization of total energy consumption (TEC) in human-robot collaborative welding shop scheduling problem (HCWSSP),this article addresses a human–robot collaborative welding shop scheduling problem (hcwssp) with minimization objectives of makespan and total energy consumption (tec).,Development of a Pareto-based memetic algorithm (PMA) for solving the multi-objective HCWSSP,"to solve this multiobjective hcwssp, a pareto-based memetic algorithm (pma), which hybridizes a genetic operator and variable neighborhood search (vns), is presented to obtain a set of tradeoff solutions between makespan and tec.",Experimental results on test problems,experimental results on test problems manifest that the proposed pma performs better than its competitors.,Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an empirical assessment (i4), appears to be a peer-reviewed study (i5), and is written in English (i6). None of the exclusion criteria apply.",
2023,IET Control Theory   Appl - 2023 - Meng - Design and implementation of flyback converter design and control of driving.pdf,Success,Not Mentioned,Not Mentioned,Design of a controller for a flyback converter in an unmanned robot driving power supply,the controller of the flyback converter is designed in detail.,Simulation and experiments,the feasibility and effectiveness of the design method in the driving powersupply of unmanned robots are demonstrated by simulation and experiments.,Exclude,"The abstract does not explicitly mention a focus on energy efficiency, which is a key inclusion criterion. While it does focus on robotics and software aspects, and provides an evaluation, the lack of explicit focus on energy efficiency leads to the recommendation to exclude.",
2023,Labelling_Lightweight_Robot_Energy_Consumption_A_Mechatronics-Based_Benchmarking_Metric_Set.pdf,Success,Identify potential strategies for energy optimization in lightweight industrial robots,"to identify potential strategies for energy optimization, standardized benchmarking procedures are required.",Development of a comprehensive benchmarking framework to evaluate the energy consumption of various lightweight industrial robot designs,we have developed a comprehensive benchmarking framework to evaluate the ec of various lir designs,Empirical assessment using five manipulators,"the metric set and experimental procedures are demonstrated using five manipulators (ur3e, ur5e, fr3, m0609,gen3)",Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an empirical assessment (i4), appears to be a primary, peer-reviewed study (i5, i6), and is written in English (i6). None of the exclusion criteria apply.",
2023,MAD_Robot_Concept_and_Prototype_Description_of_the_Robot_for_Multi-Spectral_Power_Equipment_Diagnostics._Part_II.pdf,Success,Not Mentioned,Not Mentioned,The research aims to adapt the ardupilot ecosystem for power plant and substation inspection tasks.,This research aims to fill this gap and investigate how ardupilot can be adapted to power plant and substation inspection tasks.,The prototype's performance is evaluated based on its operating experience during the inspection of 220kv power equipment on several power plants.,The paper describes the created prototype and discusses its advantages and disadvantages based on the operating experience during the inspection of 220kv power equipment on several power plants.,Exclude,"While the study focuses on robotics and software aspects of the robotic system, and provides an evaluation of the prototype, it does not explicitly focus on energy efficiency. Therefore, it does not meet all the inclusion criteria.",
2023,Motion_Planning_and_Calculation_Method_of_Power_Inspection_Robot_Arm.pdf,Success,Not Mentioned,Not Mentioned,Implementation of high-accuracy calculation of manipulator motion planning path planning for power inspection robots in complex environments,"aiming at the implementation of high-accuracy ii. calculation of manipulator motion planning path planning for power inspection robots in complex environments, a virtual model of the operating robotic arm is established.",Example,"finally, an example is given to verify the effectiveness of the proposed method.",Exclude,"The study focuses on robotics and software aspects of the robotic system, and provides an evaluation. However, it does not focus on energy efficiency, which is one of the inclusion criteria.",
2023,Motion_Simulation_of_Multi-type_Surface_Adsorption_Robot_for_Power_Energy_Industry.pdf,Success,Not Mentioned,Not Mentioned,Development of a full-real simulation platform for the adsorption hexapod robot,"in order to validate the robot’s ability to adsorb and traverse across multiple surface types, a full-real simulation platform has been developed in this research.",Simulation verification,the simulation verification has been conducted for three typical curved scenes,Exclude,"The study focuses on robotics and software aspects of the robotic system, and provides an evaluation method. However, it does not explicitly focus on energy efficiency, thus not meeting all the inclusion criteria.",
2023,NU-Biped-4_a_Lightweight_and_Low-Power_Consumption_Full-Size_Bipedal_Robot.pdf,Success,Low energy consumption,show the low requirements in term of joint torques and energy consumption (408 w) while performing a static walking gate.,Not Mentioned,Not Mentioned,"Preliminary tests, conducted in a simulation environment and on the real robot prototype","Preliminary tests, conducted in a simulation environment and on the real robot prototype",Exclude,"The abstract focuses on the mechanical and electrical design of a humanoid robot with low energy consumption. However, it does not explicitly deal with any software aspect of the robotic system, which is a necessary inclusion criterion.",
2023,Overcoming_Obstacles_With_a_Reconfigurable_Robot_Using_Deep_Reinforcement_Learning_Based_on_a_Mechanical_Work-Energy_Reward_Function.pdf,Success,Improve energy efficiency in overcoming obstacles for a reconfigurable robot using a deep reinforcement learning method based on a mechanical energy reward function,this paper presents a deep reinforcement learning (drl) method based on a mechanical (work)energyrewardfunctionappliedtoareconfigurablerstarrobottoovercomeobstacles.,Application of deep reinforcement learning in a simulated environment to train a robot for energy-efficient obstacle negotiation,thedrlwasappliedinasimulatedenvironmentwithaphysicalengine (unitytm).,Comparative analysis of the energy-based reward function with time-based and movement-based reward functions,"toevaluatethebenefitsoftheproposedenergyrewardfunction,itwas comparedtotime-basedandmovement-basedrewardfunctions.",Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through a comparative analysis (i4), and it appears to be a primary, peer-reviewed study (i5, i6). None of the exclusion criteria apply.",
