Title,Year,Authors,ArticleURL,Source,Publisher,Abstract,Cites,CitesURL
Energy-efficient solar powered Raspberry Pi pesticide sprayer robot for agriculture applications,2022,"PA Harsha Vardhini, N Sindhu, ...",https://link.springer.com/chapter/10.1007/978-981-99-2271-0_36,… and Biomedical Systems,Springer,"… Installation of software and servers linking the system to the … server software applications, including public domain software … Now, we are able to see controlling of the page robot and …",1,"https://scholar.google.com/scholar?cites=276532336326425190&as_sdt=2005&sciodt=0,5&hl=en"
Recursive filtering for mobile robot localization under an energy harvesting sensor,2022,"Y Lu, B Shen, Y Shen",https://onlinelibrary.wiley.com/doi/abs/10.1002/asjc.2672,Asian Journal of Control,Wiley Online Library,"… energy has been adopted for robot localization in this paper. Benefitted from the EH scheme, at each time instant, the energy harvester can absorb energy … of the energy amount of the …",14,"https://scholar.google.com/scholar?cites=11234483679286503385&as_sdt=2005&sciodt=0,5&hl=en"
"Flying STAR2, a hybrid flying driving robot with a clutch mechanism and energy optimization algorithm",2022,"E Gefen, D Zarrouk",https://ieeexplore.ieee.org/abstract/document/9933429/,IEEE Access,ieeexplore.ieee.org,… energy-based algorithm for a flying-driving robot that can navigate in environments crowded with obstacles. The robot can … Experiments show that the clutch reduces the driving energy …,6,"https://scholar.google.com/scholar?cites=10896204595842717666&as_sdt=2005&sciodt=0,5&hl=en"
Energy-aware task allocation strategy for multi robot system,2022,"A Djenadi, B Mendil",https://www.tandfonline.com/doi/abs/10.1080/02286203.2020.1855405,International Journal of Modelling and …,Taylor &Francis,… distributed energy management task allocation strategy for a multi-robot … energy management. The aim of this work is to develop a distributed cooperative strategy that considers energy …,10,"https://scholar.google.com/scholar?cites=9801281423044826882&as_sdt=2005&sciodt=0,5&hl=en"
An Ensemble Energy Consumption Prediction Model for Industrial Serial-Robot,2022,"Y Tan, T Deng, L Xu",https://ieeexplore.ieee.org/abstract/document/10033724/,2022 34th Chinese Control and Decision …,ieeexplore.ieee.org,"… focus on the energy consumption characteristic analysis,including the robot kinematics and … -linear relationship between the energy consumption and robot movements. This study uses …",3,"https://scholar.google.com/scholar?cites=16880275069936947524&as_sdt=2005&sciodt=0,5&hl=en"
Gait Parameter Optimization of Quadruped Robot Under Energy Consumption Index Based on Reinforcement Learning,2022,"L Chen, H Ma, L Lang, X Liu, Q Wei, ...",https://ieeexplore.ieee.org/abstract/document/9959165/,… on Advanced Robotics …,ieeexplore.ieee.org,… software and DDQN network. … energy consumption of the quadruped robot. This paper is organized as follows: Section 2 establishes the energy consumption index of quadruped robot. …,0,
Articulated robot system for energy pipeline maintenance,2022,"Z Han, Z Zhu",https://www.sciencedirect.com/science/article/pii/S2352484722015098,Energy Reports,Elsevier,"… cycle of pipe robot, this paper develops a low-cost articulated robot system on the basis of … requirements of energy pipe robot application technology, which mainly includes robot node …",3,"https://scholar.google.com/scholar?cites=16541019865044597104&as_sdt=2005&sciodt=0,5&hl=en"
Towards high-quality battery life for autonomous mobile robot fleets,2022,"AS Chavan, M Brocanelli",https://ieeexplore.ieee.org/abstract/document/9935008/,2022 IEEE International Conference …,ieeexplore.ieee.org,"… the energy available in the battery of each AMR i at the end of each decision period k, ie, ek,i in Equation 4. Naturally, the energy available is between 0 and the maximum battery …",5,"https://scholar.google.com/scholar?cites=1588597293696115319&as_sdt=2005&sciodt=0,5&hl=en"
Modeling and Simulation Analysis of Energy Self-sustainment Behavior Decision in Robot Ecosphere,2022,"H Nenghao, L Taibo, L Hongwei, ...",https://ieeexplore.ieee.org/abstract/document/10136988/,… Conference on Service …,ieeexplore.ieee.org,"… energy self-sustaining behavior decision method based on behavior tree is proposed to meet the energy self-sustaining needs of robot … Then, the CoppeliaSim simulation software was …",0,
"Spherical robot with spring energy storage type hopping mechanisms: design, dynamics and experimental evaluation",2022,"Y Dong, T Zhang, S Han, Y Guo, B Zeng, ...",https://www.emerald.com/insight/content/doi/10.1108/IR-08-2021-0172/full/html,Industrial Robot: the …,emerald.com,… We construct the spherical hopping robot model to simulate the energy loss in the case of skidding. The friction angle is changed by modifying the friction coefficient of the contact …,7,"https://scholar.google.com/scholar?cites=15430293260181432036&as_sdt=2005&sciodt=0,5&hl=en"
Bounded energy collisions in human–robot cooperative transportation,2022,"KI Alevizos, CP Bechlioulis, ...",https://ieeexplore.ieee.org/abstract/document/9750406/,… /ASME Transactions on …,ieeexplore.ieee.org,"… To calculate the minimum distance of each robot link from an obstacle, in the neighborhood of the robot, the flexible collision library (FCL) [29] was used with some appropriate software …",5,"https://scholar.google.com/scholar?cites=17210702309364247346&as_sdt=2005&sciodt=0,5&hl=en"
AUHydroBot2021–Robot based on renewable energy source,2022,AA Umlenska,https://jsee.uctm.edu/index.php/see/article/view/104,"Science, Engineering and Education",jsee.uctm.edu,"… chassis of the robot (Fig. 2). The AutoCAD software product was used for their compilation, and for the maximum efficiency of the project, the necessary calculations were made. For the …",0,
Energy optimization of a parallel robot in pick and place tasks,2022,"JP Mora, JP Barreto, CF Rodriguez",https://link.springer.com/chapter/10.1007/978-3-030-88751-3_20,Multibody Mechatronic Systems …,Springer,… same topic is studied for a delta robot. In this contribution energy optimization of a five-bar linkage … The control system is composed of commercial devices and software used in typical …,3,"https://scholar.google.com/scholar?cites=2174494192585092131&as_sdt=2005&sciodt=0,5&hl=en"
"On the Effect of Heterogeneous Robot Fleets on Smart Warehouses' Order Time, Energy, and Operating Costs",2022,"GS Oliveira, JT Carvalho, ...",https://ieeexplore.ieee.org/abstract/document/9964584/,2022 XII Brazilian …,ieeexplore.ieee.org,"… This problem aims to allocate tasks for each robot, ensuring that the total cost of … energy consumption, and other operating costs related to robots, such as spare parts or annual software …",2,"https://scholar.google.com/scholar?cites=14327463804000713988&as_sdt=2005&sciodt=0,5&hl=en"
Path Planning of Energy Robot Based on Improved Ant Colony Algorithm,2022,"B Zhu, J Zhang, J Li, L Chen, J Wu, ...",https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/3216045,… and Mobile Computing,Wiley Online Library,"… alpha robot, the second-generation alpha robot has better … with a variety of APP learning software, and has the functions of … -generation alpha robot makes the robot truly known as the …",2,"https://scholar.google.com/scholar?cites=3371885402494448486&as_sdt=2005&sciodt=0,5&hl=en"
Mobile robot energy modelling integrated into ros and gazebo-based simulation environment,2022,"W Touzout, D Benazzouz, Y Benmoussa",https://www.actapress.com/Abstract.aspx?paperId=55000,Mechatron. Syst. Control.,actapress.com,"… time power consumption of the virtual robot for predeﬁned scenarios, … energy consumption model outputs an estimation of the required energy as a function of the robot’s velocity and …",2,"https://scholar.google.com/scholar?cites=7026577777672673864&as_sdt=2005&sciodt=0,5&hl=en"
Minimalist Coverage and Energy-Aware Tour Planning for a Mobile Robot,2022,"A Ghosh, A Dutta, B Sotolongo",https://ieeexplore.ieee.org/abstract/document/9926546/,2022 IEEE 18th International …,ieeexplore.ieee.org,"… of the robot’s sensor. However, the robot is equipped with a battery that powers the robot to … Several charging stations are placed in the environment so that the robot can charge itself (…",0,
Bionic study of the cushioning and energy-saving joints of leg of the walking robot,2022,"R Zhang, W Dong, L Liu, X Ju, H Pang, Q Cao, ...",https://link.springer.com/article/10.1007/s12210-022-01059-8,… Lincei. Scienze Fisiche …,Springer,… -saving joint with and without the bionic cartilage was analyzed by finite element simulation software. Assuming that the mass of the biped walking mechanism was 20 kg and the weight …,1,"https://scholar.google.com/scholar?cites=8799660940255246256&as_sdt=2005&sciodt=0,5&hl=en"
Bioinspired and Energy-Efficient Convex Model Predictive Control for a Quadruped Robot,2022,"AD Shamraev, SA Kolyubin",https://cyberleninka.ru/article/n/bioinspired-and-energy-efficient-convex-model-predictive-control-for-a-quadruped-robot,Russian Journal of Nonlinear …,cyberleninka.ru,"… where E is the energy spent for robot locomotion, m is the mass of the robot, g is gravity acceleration, and s is the distance traveled by the robot. Note that energy was calculated as E = …",0,
Microprocessor system for monitoring the energy consumption of mobile robot servo motors,2022,"J Wang, C Dong, K Wang, Z Chen, R Xie, ...",https://ees.kdu.edu.ua/statti/2022_03-04_70.pdf,Електромеханічні і …,ees.kdu.edu.ua,… of new systems of automated management of technological objects with enhanced capabilities of CAD and other information systems used for designing algorithmic and software. …,1,"https://scholar.google.com/scholar?cites=13460814860432320819&as_sdt=2005&sciodt=0,5&hl=en"
TDE2-MBRL: Energy-exchange dynamics learning with task decomposition for spring-loaded bipedal robot locomotion,2022,"CY Kuo, H Shin, T Kamioka, ...",https://ieeexplore.ieee.org/abstract/document/10000180/,2022 IEEE-RAS 21st …,ieeexplore.ieee.org,"… We propose a Task-Decomposed Energy-exchange dynamics learning with MBRL (TDE2-… Specifically, under the law of energy conservation, we model the energy exchange to reduce …",2,"https://scholar.google.com/scholar?cites=15595169250153036179&as_sdt=2005&sciodt=0,5&hl=en"
MineTag: Exploring Low-Cost Battery-Free Localization Optical Tag for Mine Rescue Robot,2022,"X Yu, X Yang, Y Yin, S Gao, P Chen, Q Niu",https://link.springer.com/chapter/10.1007/978-3-031-19211-1_18,International Conference on …,Springer,"… , this paper proposes a battery-free localization scheme for coal mine robot, called MineTag. … and battery-free optical tags to build localization base station. Then the mine robot obtains …",0,
"Iot Based Crack Detecting, Obstacle Detecting and Energy Minimizing Robot in Railway Track",2022,"V Kavitha, M MAHESHWARI",https://www.neliti.com/publications/428493/iot-based-crack-detecting-obstacle-detecting-and-energy-minimizing-robot-in-rail,… Journal of Innovations in Engineering Research …,neliti.com,"… robot has been developed to identify the crack in the robot and also to avoid the collision of the train. The device also has energy … The software used in the IoT based crack detecting, …",1,"https://scholar.google.com/scholar?cites=4756202152346725752&as_sdt=2005&sciodt=0,5&hl=en"
Towards the Next Generation of Multi-Robot Systems for Solar Power Plants Inspection and Maintenance,2022,"A Kokkas, I Doria, J Rosa, AG Araújo, MS Couceiro",https://dcslgatech.github.io/iros22-multi-agent-workshop/contributed_papers/IROS22-DMMAS_paper_9239.pdf,dcslgatech.github.io,,"… in mobile robotics in the design of user interfaces for human-robot interaction (HRI) [8]. The key … When it comes to the introduction of new decision-making into the robot, we have once …",0,
Energy sources of mobile robot power systems: A systematic review and comparison of efficiency,2023,"T Mikołajczyk, D Mikołajewski, A Kłodowski, ...",https://www.mdpi.com/2076-3417/13/13/7547,Applied Sciences,mdpi.com,"… In addition, we propose (1) an algorithm for selecting the main energy source for robot … an electrical system power supply. Current mobile robot batteries are, in most cases, the robot’s …",41,"https://scholar.google.com/scholar?cites=13363317291003615887&as_sdt=2005&sciodt=0,5&hl=en"
MAD Robot: Concept and Prototype Description of the Robot for Multi-Spectral Power Equipment Diagnostics. Part II,2023,"AM Romanov, N Gyrichidi, OV Trofimov, ...",https://ieeexplore.ieee.org/abstract/document/10296278/,… -Ural-Siberian Smart …,ieeexplore.ieee.org,… of a MAD robot hardware and software that makes it possible to use ArduPilot for power equipment inspection missions; (Part II) an industrial-grade prototype of the MAD robot and the …,2,"https://scholar.google.com/scholar?cites=14094116237147952712&as_sdt=2005&sciodt=0,5&hl=en"
The impact of industrial robot adoption on corporate green innovation in China,2023,"L Liang, L Lu, L Su",https://www.nature.com/articles/s41598-023-46037-8,Scientific Reports,nature.com,"… that industrial robot adoption has a significant positive impact on corporate green innovation, … reveals that industrial robot adoption can promote corporate green innovation by improving …",12,"https://scholar.google.com/scholar?cites=17030715564948215704&as_sdt=2005&sciodt=0,5&hl=en"
"Anastomotic perfusion assessment with indocyanine green in robot-assisted low-anterior resection, a multicenter study of interobserver variation",2023,"PO Larsen, N Nerup, J Andersen, N Dohrn, MF Klein, ...",https://link.springer.com/article/10.1007/s00464-022-09819-1,Surgical …,Springer,"… We did not have real-time pixel analysis software available at the time of the study. Since then, on table qICG pixel analysis is now feasible on a touch screen tablet, where the surgeon …",12,"https://scholar.google.com/scholar?cites=2933247497572975319&as_sdt=2005&sciodt=0,5&hl=en"
Low-Power Footprint Inference with a Deep Neural Network offloaded to a Service Robot through Edge Computing,2023,"P Silva, R Rocha",https://dl.acm.org/doi/abs/10.1145/3555776.3577681,Proceedings of the 38th ACM/SIGAPP Symposium on …,dl.acm.org,… All the software was developed in ROS and integrated on the robot’s Jetson AGX Xavier through a Docker container6 which is publicly available to be reused by other researchers. …,2,"https://scholar.google.com/scholar?cites=4141009605302366682&as_sdt=2005&sciodt=0,5&hl=en"
A Flexible Lightweight 7.4 V Input 300 V to 1500 V Output Power Converter for an Untethered Modular Piezoelectric Soft Robot,2023,"H Cheng, Z Zheng, P Kumar, Y Chen, ...",https://ieeexplore.ieee.org/abstract/document/10221022/,… Modeling for Power …,ieeexplore.ieee.org,"… with less than 5 g of power electronics weight. A fully untethered, modular, scalable soft robot platform enables new opportunities for hardware, software, power, and control co-design. …",2,"https://scholar.google.com/scholar?cites=8453927966177543190&as_sdt=2005&sciodt=0,5&hl=en"
Parametric Design and Prototyping of a Low-Power Planar Biped Robot,2023,"KK Şafak, TB Baturalp, S Bozkurt",https://www.mdpi.com/2313-7673/8/4/346,Biomimetics,mdpi.com,… The selection of components for the robot is an important part of the design process. The ADAMS ® 2017 software is used to conduct parameterization and actuator selection studies. A …,4,"https://scholar.google.com/scholar?cites=14708013782960189533&as_sdt=2005&sciodt=0,5&hl=en"
"Feminist human-robot interaction: Disentangling power, principles and practice for better, more ethical HRI",2023,"K Winkle, D McMillan, M Arnelid, K Harrison, ...",https://dl.acm.org/doi/abs/10.1145/3568162.3576973,… on human-robot …,dl.acm.org,"… power rather than merely possessing demographic characteristics [18] as we typically tend to do when talking about (social) robot design (eg [81, 118]) and robot … structures of power, ie …",109,"https://scholar.google.com/scholar?cites=8122922784883977275&as_sdt=2005&sciodt=0,5&hl=en"
Untethered Magnetic Soft Robot with Ultra‐Flexible Wirelessly Rechargeable Micro‐Supercapacitor as an Onboard Power Source,2023,"SS Nardekar, SJ Kim",https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/advs.202303918,Advanced Science,Wiley Online Library,"… integrated soft robot, we perform the operation of the robot under … -actuator/robot and laser-irradiated (at optimized laser power and … was maintained with the NEJE controller software. …",20,"https://scholar.google.com/scholar?cites=14510925128042275801&as_sdt=2005&sciodt=0,5&hl=en"
Research on a Blue–Green LED Communication System Based on an Underwater Mobile Robot,2023,"T Shen, J Guo, H Liang, Y Li, K Li, Y Dai, Y Ai",https://www.mdpi.com/2304-6732/10/11/1238,Photonics,mdpi.com,"… The optical power of the two single LEDs was 500 mW and the emission angle was 120 [25]. Lighttools software was used to simulate the layout of 10 LEDs, with the simulation results …",4,"https://scholar.google.com/scholar?cites=16006135473627938408&as_sdt=2005&sciodt=0,5&hl=en"
Ultra-low power drive system design for fiber positioner robot,2023,"M Zhu, Z Zhang, C Zhai",https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12965/1296507/Ultra-low-power-drive-system-design-for-fiber-positioner-robot/10.1117/12.3005245.short,AOPC 2023: Novel Technologies …,spiedigitallibrary.org,"… In this paper, an ultra-low power drive system for an integrated fiber positioner robot is designed, and its hardware drive circuit and low-power software driver are described in detail. …",0,
Research and simulation analysis of positioning technology of nuclear power underwater robot based on monocular vision,2023,"G Tian, H Sha, J Zhou, J Fu, G Li",https://ieeexplore.ieee.org/abstract/document/10176983/,2023 IEEE 3rd International …,ieeexplore.ieee.org,"… power underwater robot is obtained, The camera coordinate system in this paper is equivalent to the coordinate system of the nuclear power underwater robot … 3D modeling software, …",1,"https://scholar.google.com/scholar?cites=5487529261169454452&as_sdt=2005&sciodt=0,5&hl=en"
A study on optimization for thermal inspection method of power cable and joint in underground tunnels using autonomous mobile robot,2023,"J Park, BS Ko, SK Kim, BJ Han",https://www.jicable.org/TOUT_JICABLE_FIRST_PAGE/2023/2023-P2-18_page1.pdf,… Conference on Insulated Power Cables …,jicable.org,This paper presents a mobile robot equipped with 3D LiDAR and depth cameras which autonomously patrols underground tunnels and automatically stops at every cable joint. It is …,3,"https://scholar.google.com/scholar?cites=1307278979598963183&as_sdt=2005&sciodt=0,5&hl=en"
Design and analysis of a wall‐climbing robot for water wall inspection of thermal power plants,2023,"Z Jiang, B Chen, Z Ju, Y Li, Y Xu, ...",https://onlinelibrary.wiley.com/doi/abs/10.1002/rob.22171,Journal of Field …,Wiley Online Library,"… The robot has the function of independent traverse according to its … robot meets the expected functions and indexes, providing a basis for the intelligent development of thermal power …",11,"https://scholar.google.com/scholar?cites=7529898145372227418&as_sdt=2005&sciodt=0,5&hl=en"
Solar Power Based Multipurpose Agriculture Robot with Leaf-Disease Detection,2023,"A Kumar, A Raj, K Singh, R Sarkar, ...",https://ieeexplore.ieee.org/abstract/document/10200593/,… Conference on Smart …,ieeexplore.ieee.org,"… In [2], the design of Robot is discussed which gets energy … the Robot for required mechanisms and movement of the Robot. … System software is described in this section. It communicates …",2,"https://scholar.google.com/scholar?cites=295077071690135423&as_sdt=2005&sciodt=0,5&hl=en"
A variable impedance scheme based on power-shaping signals and partial knowledge of link-side dynamics for flexible-joint robot interaction and tracking control,2023,"E Spyrakos-Papastavridis, JS Dai",https://ieeexplore.ieee.org/abstract/document/10177678/,IEEE/ASME Transactions …,ieeexplore.ieee.org,"… the dynamical interactions between the robot and its environment [3… through online modulation of a robot’s active impedance … In contrast to software-related techniques, robotic hardware …",5,"https://scholar.google.com/scholar?cites=10938995499885227586&as_sdt=2005&sciodt=0,5&hl=en"
Power consumption characteristics research on mobile system of electrically driven large-load-ratio six-legged robot,2023,"H Zhuang, N Wang, H Gao, Z Deng",https://link.springer.com/article/10.1186/s10033-023-00848-y,Chinese Journal of Mechanical …,Springer,"… is considered as an example in this paper to present a research on the power consumption characteristics of robot mobile system. This paper is divided into nine sections. In Section 2, …",7,"https://scholar.google.com/scholar?cites=12639824291124397929&as_sdt=2005&sciodt=0,5&hl=en"
Intelligent power distribution live‐line operation robot systems based on stereo camera,2023,"Y Chen, Y Wang, X Tang, K Wu, S Wu, R Guo, ...",https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/hve2.12349,High …,Wiley Online Library,… The main contribution to this paper is to systematically propose the hardware and software design of the human-computer cooperation type PDLOR for the first time. The binocular …,14,"https://scholar.google.com/scholar?cites=1523223756784424228&as_sdt=2005&sciodt=0,5&hl=en"
Human-robot collaboration disassembly planning for end-of-life power batteries,2023,"M Chu, W Chen",https://www.sciencedirect.com/science/article/pii/S0278612523001255,Journal of Manufacturing Systems,Elsevier,"… To efficiently disassemble power batteries, a human-robot … well as the human-robot assigned disassembly strategy. The … -robot collaboration for disassembly based on power batteries …",39,"https://scholar.google.com/scholar?cites=14857391887878503089&as_sdt=2005&sciodt=0,5&hl=en"
Intraoperative near-infrared lymphography with indocyanine green may aid lymph node dissection during robot-assisted resection of gastroesophageal junction …,2023,"J Osterkamp, R Strandby, N Nerup, MB Svendsen, ...",https://link.springer.com/article/10.1007/s00464-022-09684-y,Surgical …,Springer,"… However, due to variations in operating times, and the relatively short duration of gastroscopy and injection (12 min [SD, ± 2]), the present study may lack the power to identify any …",10,"https://scholar.google.com/scholar?cites=12590720716542237429&as_sdt=2005&sciodt=0,5&hl=en"
Drone–robot to clean power line insulators,2023,"RS Gonçalves, M De Oliveira, M Rocioli, F Souza, ...",https://www.mdpi.com/1424-8220/23/12/5529,Sensors,mdpi.com,"… can cause failures in the power system, leading to power supply interruptions. Currently, the … of a drone–robot for cleaning insulator chains. The drone–robot was designed to identify …",9,"https://scholar.google.com/scholar?cites=17604844909544171858&as_sdt=2005&sciodt=0,5&hl=en"
A perching and tilting aerial robot for precise and versatile power tool work on vertical walls,2023,"R Dautzenberg, T Küster, T Mathis, ...",https://ieeexplore.ieee.org/abstract/document/10342274/,2023 IEEE/RSJ …,ieeexplore.ieee.org,… required for using power tools. This work presents the first aerial robot design to perform … The deployed software runs onboard on an UP Xtreme i11. All components onboard the …,8,"https://scholar.google.com/scholar?cites=10836299151711888100&as_sdt=2005&sciodt=0,5&hl=en"
Coordination Design of a Power-Assisted Ankle Exoskeleton Robot Based on Active-Passive Combined Drive,2023,"G He, X Huang, F Li",https://link.springer.com/article/10.1007/s12204-023-2589-8,Journal of Shanghai Jiaotong University (Science),Springer,"… This driving method has an excellent powerassisted effect, but … robot based on an active-passive combined drive through simulation analysis of human motion. It used OpenSim …",1,"https://scholar.google.com/scholar?cites=16051854709546784141&as_sdt=2005&sciodt=0,5&hl=en"
Power consumption profile of a service robot: Characterization and analysis,2023,"LER Raygoza, AUB Hernandez, ...",https://ieeexplore.ieee.org/abstract/document/10334865/,2023 International …,ieeexplore.ieee.org,"… service robot’s power source, accurately mimicking the power … of the robot’s energy efficiency and optimization of its power … utilized in our power consumption study of the service robot. …",1,"https://scholar.google.com/scholar?cites=7875930357480095221&as_sdt=2005&sciodt=0,5&hl=en"
Neural network aided flexible joint optimization with design of experiment method for nuclear power plant inspection robot,2023,"G Wang, J Li, X Ma, X Chen, J Wang, S Han, ...",https://www.frontiersin.org/articles/10.3389/fnbot.2023.1049922/full,Frontiers in …,frontiersin.org,Introduction The flexible joint is a crucial component for the inspection robot to flexible interaction with nuclear power facilities. This paper proposed a neural network aided flexible joint …,1,"https://scholar.google.com/scholar?cites=17912015625847308299&as_sdt=2005&sciodt=0,5&hl=en"
Harnessing the power of movement: A body-weight support system &assistive robot case study,2023,"A Helmi, TH Wang, SW Logan, ...",https://ieeexplore.ieee.org/abstract/document/10304811/,2023 International …,ieeexplore.ieee.org,"… included video coding of childrobot interaction, mean child-robot distance, BWSS use du… the recorded sensor data using the ActiLife v6.13.4 software. We fed the root mean square (RMS…",7,"https://scholar.google.com/scholar?cites=2116599079529003424&as_sdt=2005&sciodt=0,5&hl=en"
Near-Infrared Fluorescence Imaging with Indocyanine Green for Robot-Assisted Partial Nephrectomy: A Systematic Review and Meta-Analysis,2023,"C Giulioni, PM Mulawkar, D Castellani, V De Stefano, ...",https://www.mdpi.com/2072-6694/15/23/5560,Cancers,mdpi.com,… Background: We aimed to analyze the influence of near-infrared fluorescence (NIRF) using indocyanine green (ICG) with standard robot-assisted partial nephrectomy (RAPN) in …,1,"https://scholar.google.com/scholar?cites=856864135464567401&as_sdt=2005&sciodt=0,5&hl=en"
Conducted Electromagnetic Disturbance Prediction of Electric Power Robot Motor Drive System,2023,"Y Cao, Z Liu, Y Liu, T Liu",https://ieeexplore.ieee.org/abstract/document/10169013/,"… Conference on Electrical, Power …",ieeexplore.ieee.org,… software is used to model the electric robot motor and check whether the slot full rate and efficiency of the motor are correct. Because Maxwell has better compatibility with other software…,1,"https://scholar.google.com/scholar?cites=11658376784550266478&as_sdt=2005&sciodt=0,5&hl=en"
Exploring tactile sensing to perform the power grasp of a human-robot handshake,2023,"ARC Pagaimo, P Moreno",https://ieeexplore.ieee.org/abstract/document/10129544/,… Conference on Autonomous Robot …,ieeexplore.ieee.org,"… Just like in Human-Human handshake, a robot should be able … robot, Vizzy. We present the design and implementation of a new palm with several tactile sensors as well as the software …",0,
Indocyanine green fluorescence in robot-assisted minimally invasive esophagectomy with intrathoracic anastomosis: a prospective study,2023,"EM de Groot, GM Kuiper, A van der Veen, L Fourie, ...",https://link.springer.com/article/10.1007/s13304-022-01329-y,Updates in Surgery,Springer,"… Processing and analysis of the videos was performed with the software program ImageJ (… With ICG, green is the only color on the footage as the FireFly Fluorescence Imaging mode …",15,"https://scholar.google.com/scholar?cites=15545658621356127770&as_sdt=2005&sciodt=0,5&hl=en"
Tracking fractional power rate sliding mode control for a 4dof manipulator robot,2023,"S Stihi, R Fareh, S Khadraoui, K Choutri, ...",https://ieeexplore.ieee.org/abstract/document/10153141/,… Differentiation and Its …,ieeexplore.ieee.org,… the power rate sliding control theory for a manipulator robot with Four Degrees of Freedom (4-DOF). The suggested Fractional Power … surface to improve the power law reaching mode. …,6,"https://scholar.google.com/scholar?cites=2063330127987431265&as_sdt=2005&sciodt=0,5&hl=en"
Design and Development of 5G+ Robot Autonomous Patrol Inspection System in Intelligent Power Plant,2023,"T Hua, Z Wei, F Bin, W Wei, M Xiaowei, QIU Tao",https://www.energychina.press/en/article/doi/10.16516/j.gedi.issn2095-8676.2023.06.004,南方能源建设,energychina.press,"… Method This paper started from the design idea of the robot autonomous patrol inspection … architecture and software functions. Based on this design scheme, a 5G+ robot autonomous …",0,
Testing and validation of a mobile damping robot for power lines,2023,"A Choi, O Barry",https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings-abstract/IDETC-CIE2023/87400/1170854,International Design Engineering …,asmedigitalcollection.asme.org,… There is a need to explore the potential impact of the MDR on the power … robot to transport a mass along a conductor to antinode locations. Experimental results indicate that the robot is …,1,"https://scholar.google.com/scholar?cites=10584718429218132776&as_sdt=2005&sciodt=0,5&hl=en"
The hitchhiker's guide to a credible and socially present robot: Two meta-analyses of the power of social cues in human–robot interaction,2023,"K Xu, M Chen, L You",https://link.springer.com/article/10.1007/s12369-022-00961-3,International Journal of Social Robotics,Springer,"… the robot stay switched on when the robot verbally objected to being switched off. This study indicated that participants perceived a robot … reality software and technology, vol 41, pp 1–2 …",16,"https://scholar.google.com/scholar?cites=12742093776304921127&as_sdt=2005&sciodt=0,5&hl=en"
Ferrite concentrating and shielding structure design of wireless power transmitting coil for inductively coupled capsule robot,2023,"H Zhuang, W Wang, G Yan",https://ieeexplore.ieee.org/abstract/document/10033083/,IEEE Transactions on Biomedical …,ieeexplore.ieee.org,"… in wireless power transfer (WPT) to enhance the power … robot, the ferrite core is solely introduced in power receiving coil (PRC) configuration to enhance the coupling. As for the power …",11,"https://scholar.google.com/scholar?cites=2895244021805546494&as_sdt=2005&sciodt=0,5&hl=en"
Control strategy for power assist upper limb rehabilitation robot with the therapist's motion intention prediction,2023,"ZA Adeola-Bello, NZ AZLAN, ...",https://journals.iium.edu.my/ejournal/index.php/iiumej/article/view/2604,IIUM Engineering …,journals.iium.edu.my,… for the robot to assist the therapist’s movement in a power assist … on the power assist upper limb rehabilitation robot arm are … the project with the aid of MATLAB and LabVIEW softwares. …,4,"https://scholar.google.com/scholar?cites=6448871340100979536&as_sdt=2005&sciodt=0,5&hl=en"
Design and Analysis of a Fiber Laser Flying Robot for Cleaning Power Line Insulators,2023,"A Raeisi, P Aghanasiri, H Etezadi, ...",https://ieeexplore.ieee.org/abstract/document/10412418/,2023 11th RSI …,ieeexplore.ieee.org,… One of the ways to analyze the flow is to use the new functionality of the SolidWorks software. Here we use this software to analyze the static pressure at different points of the hexarotor. …,0,
Preference-based multi-robot planning for nuclear power plant online monitoring and diagnostics,2023,"A Hesu, S Kim, F Zhang",https://www.tandfonline.com/doi/abs/10.1080/00295639.2023.2239635,Nuclear Science and Engineering,Taylor &Francis,"… 59] a publisher-subscriber software framework that facilitates the implementation of and communication among sensors, navigation logic, actuation, and other software components. …",2,"https://scholar.google.com/scholar?cites=14749756313533326650&as_sdt=2005&sciodt=0,5&hl=en"
"In depth analysis of power balance, handling, and the traction subsystem of an articulated skid-steering robot for sustainable agricultural monitoring",2023,"A Botta, P Cavallone, L Baglieri, G Colucci, ...",https://link.springer.com/article/10.1007/s42452-023-05321-y,SN Applied …,Springer,"… software for multibody systems. The model is based on the Agri.Q available CAD, where all joints and constraints have been defined accordingly. By doing so, the simulation software …",1,"https://scholar.google.com/scholar?cites=14886583943543064596&as_sdt=2005&sciodt=0,5&hl=en"
NU-Biped-4 a Lightweight and Low-Power Consumption Full-Size Bipedal Robot,2023,"M Folgheraiter, S Yessirkepov, ...",https://ieeexplore.ieee.org/abstract/document/10126025/,2023 9th …,ieeexplore.ieee.org,"… robot using the CoppeliaSim software. The CAD of the biped was imported together with the material properties, which allowed to compute the correct masses and inertia matrices of the …",2,"https://scholar.google.com/scholar?cites=12458560153118778414&as_sdt=2005&sciodt=0,5&hl=en"
